"Family","Class","What it measures","Key formula/basis","Evidence tier","Evidence note (primary source)","Strengths","Limitations","Agent-loop use"
"Halstead complexity","Product / lexical","Size + effort from operator/operand counts","V = N·log2(n); E = D·V","D — contested","Derived constants never re-validated; survives mostly inside composite indices (MI). Halstead 1977","Language-agnostic, cheap, no parser needed beyond tokens","Ignores control flow and structure entirely; effort/bug estimates unsupported","Weak. Use only as a size proxy inside composites"
"Cyclomatic complexity (McCabe)","Product / control flow","Independent paths through the control-flow graph","V(G) = E − N + 2P","B — partially validated","Landman et al. 2016 (17.6M Java methods, 6.3M C functions): CC correlates with SLOC but NOT strongly enough to be redundant","Simple, universal, maps to minimum test-path count","Weights all decisions equally; ignores nesting; correlates heavily with size at aggregate level","Good gate at function level; useless as a repo-level average"
"Cognitive complexity (SonarSource)","Product / comprehension","Effort to intuitively understand code","+1 per flow break, extra weight per nesting level","B — best-validated comprehension metric","Muñoz Barón, Wyrich & Wagner, ESEM 2020: meta-study over 427 snippets / ~24k human ratings — correlates with comprehension TIME and subjective ratings; mixed for correctness and physiological measures","Only code-only metric with published human-comprehension validation","Heuristic, language-tuned; validated for time-to-understand, not for defects","Strong. The closest proxy to 'will a human or model struggle here'"
"Maintainability Index (MI)","Product / composite","Composite ease of maintenance","MI = 171 − 5.2·ln(V) − 0.23·CC − 16.2·ln(LOC)","D — critiqued, avoid as headline","van Deursen 2014 'Think Twice Before Using the Maintainability Index': opaque constants, unreproducible calibration, size dominates the formula","Single executive-friendly 0–100 number","Composite hides its own driver; effectively a size metric in disguise; not reproducible across tools","Avoid as an agent target — it is the most gameable number on this list"
"Size (LOC / SLOC / NLOC)","Product / volume","Raw or logical volume","Line and statement counts","A — strongest single predictor, but a confound","Sjøberg et al. TSE 2013: after adjusting for file size, NONE of 12 code smells predicted maintenance effort; only size and low cohesion did","Trivially computable; dominates most other metrics statistically","Almost every 'sophisticated' metric is partly re-measuring size — always control for it","Essential as a CONTROL variable, not as a quality target"
"Coupling & cohesion (CK suite)","Product / OO design","Interdependency and internal relatedness","CBO, RFC, LCOM, WMC, DIT","B — validated for OO defect proneness","CK 1994 + replications; LCOM/cohesion is one of the two survivors in Sjøberg 2013","Captures design structure, not just line counts","Requires OO structure; LCOM has ~6 incompatible definitions across tools","Useful for 'where should this be split' guidance"
"Inheritance depth / method count","Product / OO structure","Hierarchy depth, class surface area","DIT, NOM counts","C — weak on its own","Inconsistent results across replications; narrow applicability","Flags pathological hierarchies","Narrow; near-useless outside deep OO codebases","Low priority"
"Duplication / clone density","Product / redundancy","Copy-paste and near-clone volume","Token- or AST-level clone detection; % duplicated lines","B — validated, and the key AI-era signal","GitClear 2026 (623M changes, 2023–2026): +81% code-block duplication, +41% within-commit copy/paste, cross-file reuse −35%, refactoring line-moves −70% vs 2022","Hard to fake; directly measures the failure mode AI assistants actually cause","Clone detection thresholds are tunable and vendor-specific","HIGH. This is the metric that catches an agent solving by copy-paste"
"Process / evolutionary metrics","Process","Change frequency, churn, code age, ownership diffusion, bus factor","Commit counts, added/deleted lines over time windows, author entropy","A — outperforms product metrics","Rahman & Devanbu ICSE 2013 'How, and why, process metrics are better' + Majumder et al., EMSE 2021 large-scale replication: process metrics beat product metrics for within- and cross-project defect prediction; product metrics are too static to discriminate","Predictive, cheap (git only), language-agnostic","Needs history — useless on a fresh file or a new repo","HIGH, and structurally ungameable by an agent editing a single file"
"Hotspots & change coupling","Process × product","Complexity weighted by change frequency; files that change together","Hotspot = churn × complexity; temporal coupling = co-commit frequency","B — the basis of CodeScene's commercial model","Tornhill, 'Your Code as a Crime Scene'; change coupling correlates with defect proneness","Prioritizes effort where it pays; surfaces hidden architectural coupling no static tool sees","Sensitive to history window and to repo-wide refactors/reformats","HIGH. Answers 'is this a risky place to change' — the question agents never ask"
"Architecture / dependency structure","Product / architecture","Cycles, coupling direction, modularity","Afferent/efferent coupling (Ca/Ce), instability I = Ce/(Ca+Ce), abstractness, distance from main sequence, dependency cycles, propagation cost (DSM transitive closure)","B — validated at system level","MacCormack et al. 2006 (propagation cost / DSM); architectural-smell studies link cycles, God components and dense structure to higher bug-fix LOC share","Catches the damage that per-file metrics structurally cannot see","Expensive to compute; needs real symbol resolution, not regex","HIGH for agents — blast radius is exactly what a local edit cannot perceive"
